bet_id,p_blend,edge,price,market,game_id,k_mod,k_raw,k_eff,k_corr,stake,rank_in_game,cum_risk
2019_12_DEN_BUF_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2019_12_DEN_BUF,0.21,0.0,0.0,0.0,0.0,2.0,0.35005779420142885
2019_12_DEN_BUF_spread,0.5240029167576811,0.0003692047192093,-110.0,spread,2019_12_DEN_BUF,0.21,0.0007753299103396616,0.0,0.0,0.0,3.0,0.35005779420142885
2019_12_DEN_BUF_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2019_12_DEN_BUF,0.21,0.0,0.0,0.0,0.0,4.0,0.35005779420142885
2019_12_IND_HOU_spread,0.5239755945258703,0.0003170440948432,-110.0,spread,2019_12_IND_HOU,0.21,0.000665792599170889,0.0,0.0,0.0,1.0,0.35005779420142885
2019_12_IND_HOU_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2019_12_IND_HOU,0.21,0.0,0.0,0.0,0.0,2.0,0.35005779420142885
2019_12_IND_HOU_spread,0.5239755945258703,0.0003170440948432,-110.0,spread,2019_12_IND_HOU,0.21,0.000665792599170889,0.0,0.0,0.0,3.0,0.35005779420142885
2019_12_IND_HOU_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2019_12_IND_HOU,0.21,0.0,0.0,0.0,0.0,4.0,0.35005779420142885
2019_12_JAX_TEN_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2019_12_JAX_TEN,0.21,0.015107913669064053,0.0,0.0,0.0,1.0,0.35005779420142885
2019_12_JAX_TEN_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2019_12_JAX_TEN,0.21,0.0,0.0,0.0,0.0,2.0,0.35005779420142885
2019_12_JAX_TEN_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2019_12_JAX_TEN,0.21,0.015107913669064053,0.0,0.0,0.0,3.0,0.35005779420142885
2019_12_JAX_TEN_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2019_12_JAX_TEN,0.21,0.0,0.0,0.0,0.0,4.0,0.35005779420142885
2019_12_MIA_CLE_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2019_12_MIA_CLE,0.21,0.015107913669064053,0.0,0.0,0.0,1.0,0.35005779420142885
2019_13_BUF_DAL_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2019_13_BUF_DAL,0.21,0.015107913669064053,0.0,0.0,0.0,1.0,0.35005779420142885
2020_11_ATL_NO_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2020_11_ATL_NO,0.21,0.0,0.0,0.0,0.0,4.0,0.35005779420142885
2020_11_CIN_WAS_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2020_11_CIN_WAS,0.21,0.0,0.0,0.0,0.0,2.0,0.35005779420142885
2022_02_HOU_DEN_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2022_02_HOU_DEN,0.21,0.015107913669064053,0.0,0.0,0.0,4.0,0.35005779420142885
2021_13_NE_BUF_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_13_NE_BUF,0.21,0.0,0.0,0.0,0.0,2.0,0.35005779420142885
2021_13_DEN_KC_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_13_DEN_KC,0.21,0.015107913669064053,0.0,0.0,0.0,3.0,0.35005779420142885
2021_13_DEN_KC_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_13_DEN_KC,0.21,0.015107913669064053,0.0,0.0,0.0,4.0,0.35005779420142885
2021_13_MIN_DET_spread,0.5260300389514206,0.004239165270894,-110.0,spread,2021_13_MIN_DET,0.21,0.008902247068877439,0.0,0.0,0.0,1.0,0.35005779420142885
2021_13_MIN_DET_spread,0.5260300389514206,0.004239165270894,-110.0,spread,2021_13_MIN_DET,0.21,0.008902247068877439,0.0,0.0,0.0,2.0,0.35005779420142885
2021_13_MIN_DET_spread,0.5260300389514206,0.004239165270894,-110.0,spread,2021_13_MIN_DET,0.21,0.008902247068877439,0.0,0.0,0.0,3.0,0.35005779420142885
2021_13_MIN_DET_spread,0.5260300389514206,0.004239165270894,-110.0,spread,2021_13_MIN_DET,0.21,0.008902247068877439,0.0,0.0,0.0,4.0,0.35005779420142885
2021_13_NE_BUF_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_13_NE_BUF,0.21,0.0,0.0,0.0,0.0,1.0,0.35005779420142885
